channel,phase,n_events,n_spikes_total,baseline_rate_mean_hz,response_rate_mean_hz,delta_rate_mean_hz,delta_rate_median_hz,wilcoxon_p,class
51,rating,56,682,0.6785714285714286,0.30357142857142855,-0.375,0.0,0.034984111198667935,neutral
51,free,88,682,0.6363636363636364,0.6136363636363636,-0.022727272727272728,0.0,0.8576098156282825,neutral
51,all,144,682,0.6527777777777778,0.4930555555555556,-0.1597222222222222,0.0,0.2150451516685733,neutral
52,rating,56,497,0.42857142857142855,0.35714285714285715,-0.07142857142857142,0.0,0.6174946059181232,neutral
52,free,88,497,0.3181818181818182,0.3977272727272727,0.07954545454545454,0.0,0.6784405862026557,neutral
52,all,144,497,0.3611111111111111,0.3819444444444444,0.020833333333333332,0.0,0.9938618286510476,neutral
53,rating,56,4,0.0,0.0,0.0,0.0,1.0,neutral
53,free,88,4,0.0,0.0,0.0,0.0,1.0,neutral
53,all,144,4,0.0,0.0,0.0,0.0,1.0,neutral
54,rating,56,1167,0.6428571428571429,0.5357142857142857,-0.10714285714285714,0.0,0.38343654580420805,neutral
54,free,88,1167,1.2727272727272727,1.1022727272727273,-0.17045454545454544,0.0,0.3777412675579398,neutral
54,all,144,1167,1.0277777777777777,0.8819444444444444,-0.14583333333333334,0.0,0.22428737517326447,neutral
55,rating,56,21,0.0,0.07142857142857142,0.07142857142857142,0.0,0.045500263896358396,neutral
55,free,88,21,0.022727272727272728,0.0,-0.022727272727272728,0.0,0.31731050786291415,neutral
55,all,144,21,0.013888888888888888,0.027777777777777776,0.013888888888888888,0.0,0.4795001221869535,neutral
56,rating,56,112,0.03571428571428571,0.10714285714285714,0.07142857142857142,0.0,0.27948536825112646,neutral
56,free,88,112,0.06818181818181818,0.045454545454545456,-0.022727272727272728,0.0,0.48787790840365586,neutral
56,all,144,112,0.05555555555555555,0.06944444444444445,0.013888888888888888,0.0,0.9137389061347401,neutral
57,rating,56,7,0.0,0.017857142857142856,0.017857142857142856,0.0,0.31731050786291415,neutral
57,free,88,7,0.0,0.0,0.0,0.0,1.0,neutral
57,all,144,7,0.0,0.006944444444444444,0.006944444444444444,0.0,0.31731050786291415,neutral
58,rating,56,3,0.0,0.0,0.0,0.0,1.0,neutral
58,free,88,3,0.0,0.0,0.0,0.0,1.0,neutral
58,all,144,3,0.0,0.0,0.0,0.0,1.0,neutral
59,rating,56,7,0.0,0.0,0.0,0.0,1.0,neutral
59,free,88,7,0.0,0.0,0.0,0.0,1.0,neutral
59,all,144,7,0.0,0.0,0.0,0.0,1.0,neutral
60,rating,56,282,0.14285714285714285,0.125,-0.017857142857142856,0.0,0.8866897393567406,neutral
60,free,88,282,0.09090909090909091,0.22727272727272727,0.13636363636363635,0.0,0.017509346591254093,neutral
60,all,144,282,0.1111111111111111,0.1875,0.0763888888888889,0.0,0.10522484496612762,neutral
61,rating,56,16,0.0,0.017857142857142856,0.017857142857142856,0.0,0.31731050786291415,neutral
61,free,88,16,0.0,0.022727272727272728,0.022727272727272728,0.0,0.15729920705028505,neutral
61,all,144,16,0.0,0.020833333333333332,0.020833333333333332,0.0,0.08326451666355039,neutral
62,rating,56,2,0.0,0.0,0.0,0.0,1.0,neutral
62,free,88,2,0.0,0.0,0.0,0.0,1.0,neutral
62,all,144,2,0.0,0.0,0.0,0.0,1.0,neutral
63,rating,56,444,0.25,0.21428571428571427,-0.03571428571428571,0.0,0.5987250696528468,neutral
63,free,88,444,0.29545454545454547,0.3181818181818182,0.022727272727272728,0.0,0.9122188002603896,neutral
63,all,144,444,0.2777777777777778,0.2777777777777778,0.0,0.0,0.6920721842335629,neutral
64,rating,56,270,0.17857142857142858,0.125,-0.05357142857142857,0.0,0.4351560724455289,neutral
64,free,88,270,0.2727272727272727,0.3181818181818182,0.045454545454545456,0.0,0.8462035877840504,neutral
64,all,144,270,0.2361111111111111,0.24305555555555555,0.006944444444444444,0.0,0.811701589505296,neutral
