region,time_s,like_mean_hz,like_std_hz,dislike_mean_hz,dislike_std_hz,diff_mean_hz,p_raw,p_fdr
overall,1.2650000000000015,0.7896571166905231,1.6798904519892395,0.8194914321990443,1.7217930972467028,-0.029834315508521433,0.1810350593451241,0.5113287751159371
overall,1.2750000000000017,0.7888618655397266,1.6302579836361577,0.8302472393584152,1.735435461351606,-0.041385373818688294,0.3016923646792019,0.5846751253472905
overall,1.2850000000000015,0.7875731849751852,1.583755479559459,0.8421125082728079,1.7517633871241904,-0.05453932329762294,0.351738215520887,0.63720691217552
overall,1.2950000000000017,0.7852525439725955,1.5423544723167337,0.8547155330593877,1.7695634624764176,-0.0694629890867922,0.26621389903693693,0.5525331177142015
overall,1.3050000000000015,0.7812987001435994,1.5066521137310758,0.8676216788703301,1.7879808445971817,-0.0863229787267307,0.1810350593451241,0.5113287751159371
overall,1.3150000000000017,0.7752049841412084,1.4766107127561567,0.8803877658554388,1.8065681543723455,-0.10518278171423029,0.14074416135448126,0.5113287751159371
overall,1.3250000000000015,0.766687019688593,1.4521202459669809,0.8925311716839612,1.8249146076537892,-0.1258441519953682,0.09592993989845508,0.5113287751159371
overall,1.3350000000000017,0.7558110454820477,1.4335192829485066,0.9035479795316634,1.84237815999586,-0.14773693404961566,0.07360242500693244,0.47468540300492545
overall,1.3450000000000015,0.7430047549494985,1.4214371968626869,0.9129253695941234,1.8580685308020903,-0.16992061464462502,0.04634331968751278,0.3510857552084301
overall,1.3550000000000018,0.7291059017501974,1.4164954980087074,0.9201022529480686,1.8706663850407266,-0.19099635119787095,0.025053357626296575,0.328277953844873
overall,1.3650000000000015,0.7151916339497636,1.4187038835687127,0.924567990369007,1.8786967078955763,-0.20937635641924326,0.010917047363139466,0.328277953844873
overall,1.3750000000000018,0.7025305542002852,1.427426310407229,0.9258804401203794,1.880741068329151,-0.2233498859200942,0.0035279518307023204,0.14699799294593002
overall,1.3850000000000016,0.692462994804899,1.4415199824320095,0.9238476713568103,1.8757709784849539,-0.23138467655191136,0.0019935748745407863,0.12459842965879914
overall,1.3950000000000018,0.686187440445221,1.459445947110586,0.9185138242944243,1.8632782830138839,-0.23232638384920296,0.0011131909172117929,0.12459842965879914
overall,1.4050000000000016,0.6847186788010494,1.480096526491443,0.9102428512384257,1.8435463856332466,-0.225524172437376,0.0007546559296229938,0.12459842965879914
overall,1.4150000000000018,0.688760403804789,1.5027765665237411,0.899659913963022,1.8175931010484025,-0.210899510158233,0.0019704077195324262,0.12459842965879914
overall,1.4250000000000016,0.6986519006726883,1.5274708075169279,0.8875379326599334,1.7870447376580938,-0.18888603198724485,0.0035047476631683127,0.14699799294593002
overall,1.4350000000000018,0.7143047254109541,1.5548036360807493,0.8746776102301549,1.7537122848515259,-0.16037288481920065,0.006059315021914234,0.21640410792550838
overall,1.4450000000000016,0.7352144987509628,1.5856855422756677,0.8617975309414051,1.7194029010473746,-0.12658303219044217,0.03200258531128605,0.328277953844873
overall,1.4550000000000018,0.7604806728701233,1.6210534457348562,0.8493931878477203,1.6855387418258547,-0.08891251497759695,0.1312009837908154,0.5113287751159371
overall,1.4650000000000016,0.7889522018993113,1.6615378176067244,0.8377770893632505,1.653205913793201,-0.04882488746393901,0.46449558585401407,0.681762206108045
overall,1.4750000000000019,0.8192794149301441,1.7069823776804351,0.8270438925042771,1.6232519752468417,-0.007764477574132982,0.8955471131969037,0.9251519764430823
overall,1.4850000000000017,0.8501916064821521,1.7565105237719152,0.8172089092262316,1.5966371697071167,0.032982697255920346,0.3646630012809722,0.641162985980682
overall,1.4950000000000019,0.880484843258754,1.8083674139785402,0.8082841447214076,1.5745621035929938,0.07220069853734667,0.14520561034739915,0.5113287751159371
overall,1.5050000000000017,0.9092123833597806,1.8603029487582083,0.8003901942893378,1.5583567974667212,0.10882218907044286,0.11659906220946456,0.5113287751159371
overall,1.515000000000002,0.9357103224638095,1.9099640529142663,0.7938070971352323,1.5492395908452574,0.14190322532857713,0.05654536210351486,0.4130570750346779
overall,1.5250000000000017,0.9594412352624438,1.954780891316632,0.7889789836850019,1.5480999349863487,0.170462251577442,0.04476691236749193,0.34974150287103073
overall,1.535000000000002,0.9800014499829098,1.9926166284714304,0.7864854278626771,1.5554133319028218,0.19351602212023258,0.033017151535238654,0.328277953844873
overall,1.5450000000000017,0.9969834330540367,2.021658064417672,0.7869273153398584,1.5711812597877575,0.2100561177141787,0.02645950257988294,0.328277953844873
overall,1.555000000000002,1.0099259274109422,2.0406706494234284,0.7908240643308843,1.595155839413503,0.21910186308005797,0.025396551700631445,0.328277953844873
overall,1.5650000000000017,1.0182720708597635,2.048870688829889,0.7985595911356991,1.6269573272805842,0.21971247972406427,0.02455864369061138,0.328277953844873
overall,1.575000000000002,1.0214641359849181,2.0459019331304114,0.8101195184887796,1.665782100629691,0.21134461749613834,0.03198417150232695,0.328277953844873
overall,1.5850000000000017,1.019068428466958,2.0319445735196093,0.8251200133497291,1.71048051974143,0.19394841511722866,0.06113983268451348,0.41310697759806403
overall,1.595000000000002,1.010933377336679,2.007717512752556,0.8427668491820568,1.759291643757342,0.1681665281546222,0.18410154940392476,0.5113287751159371
overall,1.6050000000000018,0.9972986077579417,1.9745106356111188,0.861931865557134,1.8098773461169955,0.13536674220080785,0.39172073941517005,0.6552268367296054
overall,1.615000000000002,0.9788962213444095,1.9343545082429447,0.8812727578046109,1.8594392904114365,0.09762346353979887,0.9711030657416846,0.978588407402187
overall,1.6250000000000018,0.9570013788052059,1.8901517666574439,0.8994290677895546,1.9050433759230296,0.05757231101565115,0.7262084027878886,0.8215027180858467
overall,1.635000000000002,0.9332389035139165,1.845377178173921,0.9152659787819082,1.944098821739769,0.017972924732008504,0.5143705747741671,0.7008049337719041
overall,1.6450000000000018,0.909487486591971,1.8041047500090308,0.9280373693604659,1.9747486179806155,-0.0185498827684951,0.3942562432920752,0.6552268367296054
overall,1.655000000000002,0.8876225533268788,1.77049502086301,0.9375256704691876,1.9963032012054163,-0.04990311714230893,0.30700651537705803,0.5858911861386112
overall,1.6650000000000018,0.8692293919128387,1.748424991331537,0.94401716430565,2.0094104267242243,-0.07478777239281145,0.27109852719742844,0.5525331177142015
overall,1.675000000000002,0.8553820813085651,1.7408314768058586,0.948291897697936,2.0161286298138443,-0.09290981638937111,0.2613901881367874,0.5516166959535599
overall,1.6850000000000018,0.8464581748669356,1.7490918294044249,0.9513520813115546,2.0193815291151225,-0.10489390644461905,0.22935196912560196,0.5466244591689514
overall,1.695000000000002,0.8421637886348146,1.7725425046221872,0.9542536427614715,2.0223794392442307,-0.11208985412665716,0.16490789724395738,0.5113287751159371
overall,1.7050000000000018,0.8414765891084366,1.8082209970446055,0.9578241240019375,2.0277865883781154,-0.11634753489350091,0.12614964199417728,0.5113287751159371
overall,1.715000000000002,0.842915814197306,1.8513042509982895,0.9624167689607155,2.036835231434529,-0.11950095476340936,0.13772589069711721,0.5113287751159371
overall,1.7250000000000019,0.8448119658174594,1.895858934104942,0.9678754291522971,2.049080251906108,-0.1230634633348375,0.1633137897603415,0.5113287751159371
overall,1.735000000000002,0.8455216196131333,1.9356104954363607,0.9735101644829076,2.0625307582820684,-0.12798854486977404,0.1810350593451241,0.5113287751159371
overall,1.7450000000000019,0.8437852904456739,1.9649917042252494,0.9782049445406199,2.074102548926084,-0.13441965409494638,0.08333202588531945,0.4844885225890666
overall,1.7550000000000021,0.8388538021224108,1.9796525977015351,0.9806653861733183,2.0804309025719605,-0.1418115840509078,0.05948021880499362,0.4130570750346779
overall,1.765000000000002,0.830650037757484,1.9771742510058627,0.9797564420682079,2.0789889889530144,-0.149106404310724,0.03545401901524629,0.328277953844873
overall,1.7750000000000021,0.8197690544423821,1.9572677079400653,0.9746993620185682,2.068440215362737,-0.1549303075761864,0.03180634525830929,0.328277953844873
overall,1.785000000000002,0.8072421127901366,1.9217180652553547,0.9653355741971882,2.0490203653725962,-0.15809346140705177,0.034510158789884005,0.328277953844873
overall,1.7950000000000021,0.7943792746242465,1.8741956848129513,0.9521137712463006,2.022332865002553,-0.15773449662205388,0.0335878487600277,0.328277953844873
overall,1.805000000000002,0.7825220208942746,1.81988390214654,0.9361142068572484,1.9910374568914866,-0.15359218596297422,0.041591733722001895,0.3447818326908031
overall,1.8150000000000022,0.7727159474919381,1.7644729694493837,0.9187934513655137,1.9581314041127365,-0.14607750387357574,0.07405092286876837,0.47468540300492545
overall,1.825000000000002,0.7655527068523249,1.7134473039682871,0.9017653033241556,1.9264716059820488,-0.1362125964718304,0.12211618118941975,0.5113287751159371
overall,1.8350000000000022,0.7611117104759666,1.6711542694099992,0.8865306475869256,1.8983437038951003,-0.12541893711095906,0.1477255880782348,0.5113287751159371
overall,1.845000000000002,0.7589682253883206,1.6400753151706584,0.874287047592362,1.8753897413055978,-0.11531882220404151,0.13475776713757462,0.5113287751159371
overall,1.8550000000000022,0.7583738896714745,1.6206671515503361,0.8657684068346235,1.8584398818308223,-0.10739451716314904,0.1438130353334914,0.5113287751159371
overall,1.865000000000002,0.7584195205237924,1.611524637069066,0.8612558442796383,1.8478202817749867,-0.10283632375584562,0.11022368121623205,0.5113287751159371
overall,1.8750000000000022,0.7582656859067798,1.6100847032982866,0.8605595970770384,1.8433699172838256,-0.10229391117025853,0.12897011121972915,0.5113287751159371
overall,1.885000000000002,0.7572917612895719,1.6134607392268394,0.8631484399296415,1.8447728683481894,-0.10585667864006984,0.1599287071736536,0.5113287751159371
overall,1.8950000000000022,0.7551231267757712,1.6190309186486918,0.868228192313192,1.8515690156723659,-0.1131050655374209,0.17738115878779548,0.5113287751159371
overall,1.905000000000002,0.7516419806124407,1.6249646364120782,0.8748543614589611,1.863402556824359,-0.12321238084652061,0.1469329635051231,0.5113287751159371
overall,1.9150000000000023,0.7468196027026653,1.6300559514801551,0.882014181663017,1.880156544257288,-0.13519457896035209,0.15332775756551434,0.5113287751159371
overall,1.925000000000002,0.740635606299246,1.6337668310805222,0.8887415291194993,1.9021109716796019,-0.1481059228202534,0.17023860494748877,0.5113287751159371
overall,1.9350000000000023,0.7329857581387964,1.635966327150912,0.8941996498028185,1.929917496112781,-0.16121389166402236,0.19621011850107473,0.5113287751159371
overall,1.945000000000002,0.7236001483908849,1.6365164281218176,0.8977081892219143,1.9644449729028761,-0.1741080408310295,0.24270125987101443,0.5466244591689514
overall,1.9550000000000023,0.7121388997759295,1.6354650810987046,0.8988615322133992,2.0065449023236055,-0.18672263243746978,0.22068851615288598,0.5456564966427577
overall,1.965000000000002,0.6983038300194809,1.6329849269862866,0.8974994914470162,2.056592977231305,-0.19919566142753534,0.21229687835647482,0.5361032281729162
overall,1.9750000000000023,0.6819556130346937,1.6295902200350698,0.8937361435487547,2.114220135618403,-0.2117805305140611,0.29124878538104726,0.5788615989204576
overall,1.985000000000002,0.6632318352288418,1.6261975065999354,0.887953985793498,2.1781647326172813,-0.22472215056465636,0.351738215520887,0.63720691217552
overall,1.9950000000000023,0.6426024409548214,1.6239299238198668,0.8806658668407905,2.2461680413585623,-0.23806342588596907,0.3635360079750922,0.641162985980682
amygdala,-0.495,1.734533252538608,3.2692833810350392,1.3476182361285227,3.15096320631033,0.3869150164100851,0.11092454538064517,0.5394322672016989
amygdala,-0.485,1.7029423187146593,3.0353794125290157,1.3597566980497942,3.016984018984182,0.34318562066486547,0.14500093999532096,0.5394322672016989
amygdala,-0.475,1.6738546813936048,2.827655965381952,1.3722171073521001,2.8907878259255764,0.3016375740415046,0.2188106966913549,0.5803537190398239
amygdala,-0.46499999999999997,1.6480614125635213,2.6565989859533836,1.3838643428799855,2.7762690263061147,0.2641970696835359,0.24548730413787312,0.5900989249531977
amygdala,-0.45499999999999996,1.6258812051419496,2.5274318426815103,1.3935986962990141,2.675205097637402,0.23228250884293522,0.29487572721167077,0.6410341895905887
amygdala,-0.44499999999999995,1.607198343219146,2.439126257423962,1.4006639892230528,2.58742258721109,0.20653435399609338,0.29487572721167077,0.6410341895905887
amygdala,-0.43499999999999994,1.5915990444905115,2.385822718801107,1.4047970631540119,2.511558981573384,0.18680198133649936,0.30549813024041306,0.6472418013568073
amygdala,-0.42499999999999993,1.5786700731993373,2.359351808418582,1.40634145802747,2.4458329680766435,0.1723286151718672,0.30549813024041306,0.6472418013568073
amygdala,-0.4149999999999999,1.5681316737834394,2.351966087271934,1.406279291176284,2.3892632376606726,0.16185238260715484,0.3744947549643215,0.6951701122809478
amygdala,-0.4049999999999999,1.5598493169004235,2.3576576307767954,1.40598225852492,2.341880475520785,0.15386705837550332,0.5237341899765697,0.7701973382008378
amygdala,-0.3949999999999999,1.5538151252162502,2.372581892544236,1.4069088017107088,2.304721710431545,0.1469063235055414,0.8022117949916099,0.9029387731368645
amygdala,-0.3849999999999999,1.549982438407912,2.394267592711574,1.410326468516831,2.2793250540955547,0.13965596989108106,0.9093510601128354,0.9715289103769609
amygdala,-0.3749999999999999,1.5480323105604983,2.4205892385117944,1.4169399797155142,2.2667663972208096,0.1310923308449843,0.9818326029360694,0.9977973607073876
amygdala,-0.3649999999999999,1.5473041846021829,2.4491641201753582,1.4267291235600783,2.267078448588764,0.12057506104210507,0.9636746235039864,0.9833414525550881
amygdala,-0.35499999999999987,1.546734525839789,2.4771907644322364,1.43885951206909,2.278749484050427,0.1078750137706989,0.6818898536170435,0.8523623170213044
amygdala,-0.34499999999999986,1.5450696095591803,2.501900701067693,1.451864094131474,2.2990537094868,0.0932055154277065,0.5847125558503574,0.8357529893005711
amygdala,-0.33499999999999985,1.541093484125766,2.5213978573966087,1.4638971027181795,2.324456566633683,0.07719638140758606,0.8733537674341689,0.9370748577619838
