edfchannel	other_name	ASEG	ASEG_prob	DKT	DKT_prob	AAL3 (MNI-linear)	AAL3 (MNI-linear)_prob
Q10	L-BNST-Hua10	White L	100%	White L	100%		
Q11	L-BNST-Hua11	White L	100%	White L	100%		
Q12	L-BNST-Hua12	White L	100%	White L	100%		
Q13	L-BNST-Hua13	White L	90%	White L	90%	Frontal_Inf_Oper L	12%
Q14	L-BNST-Hua14	White L	84%	White L	84%	Frontal_Inf_Oper L	58%
Q15	L-BNST-Hua15	White L	100%	White L	100%	Frontal_Mid_2 L	84%
Q16	L-BNST-Hua16	White L	70%	White L	70%	Frontal_Mid_2 L	96%
R1	L-MFB-Hua1	VentralDC L	72%	Thalamus L	72%	Red_N L	35%
R2	L-MFB-Hua2	VentralDC L	100%	Thalamus L	100%	Red_N L	53%
R3	L-MFB-Hua3	VentralDC L	99%	Thalamus L	99%	Thal_IL L	19%
R4	L-MFB-Hua4	VentralDC L	78%	Thalamus L	78%	Thal_VL L	44%
R5	L-MFB-Hua5	Thalamus L	57%	Thalamus L	57%	Thal_VL L	99%
R6	L-MFB-Hua6	White L	74%	White L	74%	Thal_VL L	99%
R7	L-MFB-Hua7	White L	94%	White L	94%	Thal_VL L	99%
R8	L-MFB-Hua8	White L	99%	White L	99%	Thal_VL L	70%
R9	L-MFB-Hua9	White L	94%	White L	94%	Putamen L	11%
A5	L-MFB-Hua10	White L	97%	White L	97%	Putamen L	11%
A6	L-MFB-Hua11	White L	100%	White L	100%		
R12	L-MFB-Hua12	White L	100%	White L	100%		
R13	L-MFB-Hua13	White L	100%	White L	100%		
R14	L-MFB-Hua14	White L	100%	White L	100%		
R15	L-MFB-Hua15	White L	100%	White L	100%		
R16	L-MFB-Hua16	White L	70%	White L	70%	Precentral L	31%
